"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","7","0","","0"
"0","","0","獲取產品列表 API","1","0","","0"
"0","","0","登入 API","1","0","","0"
"0","","0","下單 API","1","0","","0"
